[Dev, 17-Aug-2015 02:37:45]: kek
[Dev, 17-Aug-2015 03:00:49]: :;god
[Dev, 17-Aug-2015 03:14:19]: test
[Dev, 17-Aug-2015 16:01:49]: fuk
[Dev, 17-Aug-2015 16:18:24]: nigga
[Dev, 18-Aug-2015 23:56:00]: w5trhe56h
[Dev, 18-Aug-2015 23:56:01]: 5hje5r6h56ehe56
[Snow, Aug 20, 2015 1:41:36 PM]: I did abyssal demons and the hands
[Blibis, Aug 20, 2015 1:41:50 PM]: lol fuk
[Blibis, Aug 20, 2015 1:41:51 PM]: cum fuk
[Blibis, Aug 20, 2015 1:41:52 PM]: i meant
[Blibis, Aug 20, 2015 1:41:54 PM]: prayer
[Snow, Aug 20, 2015 1:42:19 PM]: frostdragon bones is the best xp
[Snow, Aug 20, 2015 1:42:22 PM]: 22k or something
[Snow, Aug 20, 2015 1:46:29 PM]: just did a barrows trip with no food or pots
[Snow, Aug 20, 2015 1:46:30 PM]: nailed it
[Blibis, Aug 20, 2015 1:46:35 PM]: gg
[Blibis, Aug 20, 2015 1:49:43 PM]: another key
[Blibis, Aug 20, 2015 1:49:52 PM]: help
[Blibis, Aug 20, 2015 1:50:18 PM]: i will never get a godsword will i
[Blibis, Aug 20, 2015 1:50:32 PM]: nope
[Blibis, Aug 20, 2015 1:51:43 PM]: :(((((((((((
[Snow, Aug 20, 2015 1:57:35 PM]: :(((((((
[Blibis, Aug 20, 2015 1:57:56 PM]:  igot something that sold for -1 coins
[Blibis, Aug 20, 2015 1:58:00 PM]: igot
[Blibis, Aug 20, 2015 2:01:30 PM]: what
[Blibis, Aug 20, 2015 2:01:39 PM]: what
[Snow, Aug 20, 2015 2:03:32 PM]: ben
[Snow, Aug 20, 2015 2:03:33 PM]: fuck you
[Chibi, Aug 20, 2015 2:03:38 PM]: ah
[Blibis, Aug 20, 2015 2:03:39 PM]: 10 mil
[Chibi, Aug 20, 2015 2:03:39 PM]: i see
[Blibis, Aug 20, 2015 2:03:43 PM]: 10 m i l
[Chibi, Aug 20, 2015 2:03:49 PM]: yee
[Snow, Aug 20, 2015 2:05:02 PM]: memes
[Snow, Aug 20, 2015 2:06:41 PM]: I will hdhr the chico song
[Snow, Aug 20, 2015 2:09:25 PM]: I did it with a sliderbreak on relax
[Chibi, Aug 20, 2015 2:09:35 PM]: gg
[Blibis, Aug 20, 2015 2:12:53 PM]: 2x tooth half
[Blibis, Aug 20, 2015 2:12:54 PM]: ok
[Blibis, Aug 20, 2015 2:13:23 PM]: 3x tooth half
[Blibis, Aug 20, 2015 2:13:24 PM]: ok
[Snow, Aug 20, 2015 2:13:46 PM]: ah
[Snow, Aug 20, 2015 2:13:47 PM]: ahh
[Snow, Aug 20, 2015 2:13:49 PM]: ahhh
[Chibi, Aug 20, 2015 2:14:25 PM]: tom
[Chibi, Aug 20, 2015 2:14:27 PM]: you shit
[Chibi, Aug 20, 2015 2:14:31 PM]: wheres the training area
[Chibi, Aug 20, 2015 2:14:33 PM]: :(
[Snow, Aug 20, 2015 2:14:38 PM]: use your head
[Snow, Aug 20, 2015 2:14:44 PM]: (task system)
[Chibi, Aug 20, 2015 2:14:56 PM]: ah
[Snow, Aug 20, 2015 2:15:03 PM]: :[]
[Blibis, Aug 20, 2015 2:26:06 PM]: finally got a loop half
[Chibi, Aug 20, 2015 2:26:50 PM]: Soon
[Chibi, Aug 20, 2015 2:26:57 PM]: Soon I  will get 99
[Chibi, Aug 20, 2015 2:26:58 PM]: :(
[Snow, Aug 20, 2015 2:26:59 PM]: memes
[Snow, Aug 20, 2015 2:27:12 PM]: why did you choose a gay name
[Chibi, Aug 20, 2015 2:27:22 PM]: duno
[Chibi, Aug 20, 2015 2:27:27 PM]: I regret it already but eh
[Snow, Aug 20, 2015 2:27:35 PM]: then make a new acc
[Chibi, Aug 20, 2015 2:27:41 PM]: na
[Snow, Aug 20, 2015 2:30:21 PM]: :[]
[Snow, Aug 20, 2015 2:30:27 PM]: :[]
[Blibis, Aug 20, 2015 2:31:04 PM]: omfg
[Blibis, Aug 20, 2015 2:31:14 PM]: goodbye
[Snow, Aug 20, 2015 2:31:22 PM]: waht did you get
[Blibis, Aug 20, 2015 2:31:24 PM]: i will
[Blibis, Aug 20, 2015 2:31:24 PM]: give
[Blibis, Aug 20, 2015 2:31:25 PM]: you
[Blibis, Aug 20, 2015 2:31:28 PM]: 296k
[Blibis, Aug 20, 2015 2:31:30 PM]: for another loop
[Blibis, Aug 20, 2015 2:31:32 PM]: :^ )
[Snow, Aug 20, 2015 2:31:33 PM]: negative
[Blibis, Aug 20, 2015 2:31:36 PM]: fuk
[Snow, Aug 20, 2015 2:31:44 PM]: i only have 1 more loop
[Snow, Aug 20, 2015 2:31:46 PM]: what is happening
[Blibis, Aug 20, 2015 2:31:47 PM]: ah
[Snow, Aug 20, 2015 2:31:48 PM]: I had 8
[Blibis, Aug 20, 2015 2:31:50 PM]: ikr
[Blibis, Aug 20, 2015 2:32:21 PM]: brb
[Snow, Aug 20, 2015 2:32:36 PM]: I just got another loop
[Snow, Aug 20, 2015 2:32:38 PM]: NICE
[Snow, Aug 20, 2015 2:33:23 PM]: and now a tooth
[Snow, Aug 20, 2015 2:33:24 PM]: wow
[Chibi, Aug 20, 2015 2:33:58 PM]: oh shit driving exam tomorrow
[Chibi, Aug 20, 2015 2:34:02 PM]: would laugh so hard if i pass
[Snow, Aug 20, 2015 2:34:08 PM]: probably will
[Snow, Aug 20, 2015 2:34:10 PM]: its easy
[Chibi, Aug 20, 2015 2:34:16 PM]: naw going to ram into some orphans
[Blibis, Aug 20, 2015 2:34:20 PM]: ............
[Snow, Aug 20, 2015 2:34:21 PM]: extra points
[Chibi, Aug 20, 2015 2:34:30 PM]: gotta get that ss in the car yo
[Snow, Aug 20, 2015 2:35:09 PM]: :[]
[Chibi, Aug 20, 2015 2:35:12 PM]: :[]
[Snow, Aug 20, 2015 2:35:16 PM]: :[]
[Chibi, Aug 20, 2015 2:36:13 PM]: thank god the xp isnt op
[Snow, Aug 20, 2015 2:36:29 PM]: eco server
[Chibi, Aug 20, 2015 2:37:02 PM]: yee
[Chibi, Aug 20, 2015 2:37:13 PM]: instead of some servers -100k xp a hit-
[Chibi, Aug 20, 2015 2:37:23 PM]: -with your fists-
[Snow, Aug 20, 2015 2:37:48 PM]: with memes
[Chibi, Aug 20, 2015 2:37:52 PM]: top memes
[Blibis, Aug 20, 2015 2:47:58 PM]: gotta go
[Blibis, Aug 20, 2015 2:48:02 PM]: gotta go fast
[Snow, Aug 20, 2015 2:48:07 PM]: gotta go fast
[Chibi, Aug 20, 2015 4:57:41 PM]: 7;;home
[Chibi, Aug 21, 2015 11:17:31 PM]: why do i always get shit
[Chibi, Aug 21, 2015 11:17:33 PM]: ):
[Chibi, Aug 21, 2015 11:28:57 PM]: saradom chestplate
[Chibi, Aug 21, 2015 11:28:59 PM]: i c
[Chibi, Aug 22, 2015 12:09:17 AM]: shit
[Chibi, Aug 22, 2015 12:09:26 AM]: forgot pots
[Snow, Aug 22, 2015 12:09:35 AM]: rip
[Snow, Aug 22, 2015 12:09:38 AM]: only need 2 prayer pots
[Chibi, Aug 22, 2015 12:09:50 AM]: 250 prayer shitshtishithsithist
[Chibi, Aug 22, 2015 12:09:55 AM]: Gotta make it
[Chibi, Aug 22, 2015 12:09:57 AM]: gotta make it
[Chibi, Aug 22, 2015 12:09:59 AM]: gotta make it
[Chibi, Aug 22, 2015 12:10:19 AM]: 150
[Chibi, Aug 22, 2015 12:10:20 AM]: fok
[Snow, Aug 22, 2015 12:10:25 AM]: you'll make it ez
[Snow, Aug 22, 2015 12:10:33 AM]: saradomin op
[Snow, Aug 22, 2015 12:10:44 AM]: kill another
[Snow, Aug 22, 2015 12:10:45 AM]: :^)
[Chibi, Aug 22, 2015 12:10:50 AM]: prayer is gone
[Chibi, Aug 22, 2015 12:10:51 AM]: :(
[Chibi, Aug 22, 2015 12:10:54 AM]: where do i get le pots?
[Snow, Aug 22, 2015 12:10:58 AM]: potion store @ home
[Chibi, Aug 22, 2015 12:11:06 AM]: rbrbrbrebrbrbrbbrbrrbbrrbrbbr
[Snow, Aug 22, 2015 12:11:06 AM]: by the warrior/range/magic one
[Snow, Aug 22, 2015 12:11:11 AM]: need to bank anyway
[Chibi, Aug 22, 2015 12:11:13 AM]: :[]
[Snow, Aug 22, 2015 12:15:24 AM]: no idea how thisll go
[Chibi, Aug 22, 2015 12:15:33 AM]: welp
[Chibi, Aug 22, 2015 12:16:02 AM]: i cant do any damage
[Chibi, Aug 22, 2015 12:16:03 AM]: rip me
[Snow, Aug 22, 2015 12:16:06 AM]: k
[Snow, Aug 22, 2015 12:16:07 AM]: k
[Snow, Aug 22, 2015 12:16:11 AM]: fuck
[Snow, Aug 22, 2015 12:16:11 AM]: k
[Snow, Aug 22, 2015 12:16:12 AM]: ek
[Snow, Aug 22, 2015 12:16:26 AM]: this takes too many hits
[Snow, Aug 22, 2015 12:16:28 AM]: back to melee
[Chibi, Aug 22, 2015 12:16:37 AM]: sa9j8udias
[Chibi, Aug 22, 2015 12:16:41 AM]: I need good stuff
[Snow, Aug 22, 2015 12:16:43 AM]: same
[Chibi, Aug 22, 2015 12:16:49 AM]: :[]
[Snow, Aug 22, 2015 12:16:51 AM]: :[]
[Snow, Aug 22, 2015 12:19:32 AM]: fuck this
[Snow, Aug 22, 2015 12:19:36 AM]: trying frost dragons instead
[Snow, Aug 22, 2015 12:19:38 AM]: much faster to kill
[Chibi, Aug 22, 2015 12:19:45 AM]: :[]
[Snow, Aug 22, 2015 12:19:48 AM]: :[]
[Blibis, Aug 22, 2015 12:55:02 PM]:  ::home
[Blibis, Aug 22, 2015 12:55:06 PM]: what
[Blibis, Aug 23, 2015 10:03:14 PM]: opk
[Blibis, Aug 23, 2015 10:04:32 PM]: : (
[Snow, Aug 23, 2015 10:04:36 PM]: :[)
[Eyeizmoorey, Aug 23, 2015 10:05:16 PM]:   ;;home
[Snow, Aug 23, 2015 10:05:52 PM]: :[]
[Blibis, Aug 23, 2015 11:01:36 PM]: tfw
[Blibis, Aug 23, 2015 11:01:40 PM]: silence has fallen
[Snow, Aug 23, 2015 11:01:41 PM]: :[]
[Snow, Aug 23, 2015 11:01:48 PM]: >:[]
[Snow, Aug 23, 2015 11:02:18 PM]: HILT
[Blibis, Aug 23, 2015 11:02:21 PM]: no
[Snow, Aug 23, 2015 11:02:32 PM]: LOJK Im so clool
[Snow, Aug 23, 2015 11:02:33 PM]: lo-glkao-34lg
[Snow, Aug 23, 2015 11:02:34 PM]: 34kl,34opgk34gow34pk,w34ol,
[Snow, Aug 23, 2015 11:02:59 PM]: :[]
[Snow, Aug 23, 2015 11:03:41 PM]: :[]
[Snow, Aug 23, 2015 11:03:51 PM]: :[]
[Snow, Aug 23, 2015 11:14:58 PM]: :[]
[Snow, Aug 23, 2015 11:29:47 PM]: jkmo-fghekm
[Blibis, Aug 23, 2015 11:29:57 PM]: good banter
[Snow, Aug 23, 2015 11:30:02 PM]: top kek
[Blibis, Aug 23, 2015 11:30:17 PM]: i doi'nt kjno
[Blibis, Aug 23, 2015 11:31:07 PM]: i weet niet wat er op dit moment gebeurd
[Snow, Aug 23, 2015 11:31:11 PM]: yes
[Blibis, Aug 23, 2015 11:45:03 PM]: : (
[Blibis, Aug 23, 2015 11:45:19 PM]: m8
